Lesson,Phoneme,,,,,Module,Introducing concepts/exercises
1,/m/,M,M,/m/,m (mad),1,3 letter words
1,/a/,A,A,/a/,a (hat),1,Teach Tam
1,/t/,T,T,/t/,t (top),1,Sound Detective
2,/s/,S,S,/s/,s (say),1,
3,/p/,P,P,/p/,p (pin),1,
4,/i/,I,I,/i/,i (hit),1,
5,/n/,N,N,/n/,n (no),1,Some Imaginary Finger Words
6,/d/,D,D,/d/,d (dog),1,
7,/o/,O,O,/o/,o (hot),1,
8,/b/,B,B,/b/,b (big),1,
9,/g/,G,G,/g/,g (go),1,
10,ending in s,,Z,,,2,4 letter words
11,/e/,E,E,/e/,e (bed),2,
12,/h/,H,H,/h/,h (hot),2,
13,"3 sight words: I, a, and the",,,"3 sight words: I, a, and the",,2,Story Words
14,/l/,L,L,/l/,l (leg),2,
15,/k/,C,K,/k/,c (car),2,Brain Words
16,/u/,U,U,/u/,u (bus),2,Reading for Fluency
17,/r/,R,R,/r/,r (run),2,Word Chain
19,Review,,,,,2,
20,/sh/,,,,,3,5 letter words
21,/ch/ + /tch/,,,,,3,
22,/y/,,,,,3,"***maybe make ""you"" a heart word here"
23,/z/,,,,,3,
24,"/k/, /ck/",,,,"k,k",3,
25,/qu/,,,,,3,
26,/f/,,,/f/,f (fox),3,
27,"SS, LL, ZZ, FF",,,,,3,
28,/th/ (voiced),,,,,3,
29,Review,,,,,3,
30,ee,,,,,4,"she, he, we"
31,/w/ and wh (what),,,/j/,j (jet),4,"Heart word: was, what, want"
32,ay and a_e (cake),,,,,4,
33,j,,,/w/,w (way),4,
34,long i and i_e (like),,,,,4,"heart word: hi, by, why?"
35,/v/,,,,,4,
36,"o_e (home, boat, no)",,,/v/,v (very),4,"no, go, so + heart word (to, do)"
37,x (fox),,,,,4,
38,u_e (cube),,,,,4,
39,/th/ (unvoiced),,,,,4,
40,Review,,,,,4,
41,Lowercase letters,,,,,5,6 letter words
42,Lowercase letters,,,,,5,Two Syllables
43,ng (ring),,,,,5,Clapping syllables
44,ph (phone),,,,,5,
45,e_e (these),,,,,5,
46,"/bl/, /cl/",,,,,5,
47,ue (blue),,,,,5,
48,"/fl/, /gl/",,,,,5,
49,"/br/, /dr/",,,,,5,
50,Review,,,,,5,
51,ai (rain),,,,,6,
52,ea (eat),,,,,6,
53,ie (pie),,,,,6,
54,oa (boat),,,,,6,
55,ei (ceiling),,,,,6,
56,"/sm/, /st/",,,,,6,
57,ou (house),,,,,6,
58,"/pr/, /vr/",,,,,6,
59,oo (moon),,,,,6,
60,Review,,,,,6,
61,"/gr/, /tr/",,,,,7,
62,ow (cow),,,,,7,
63,"/sp/, /sn/",,,,,7,
64,oi (boil),,,,,7,
65,"/pl/,/sl/",,,,,7,
66,oy (boy),,,,,7,
67,"/cr/, /fr/",,,,,7,
68,oo (book),,,,,7,
69,"/sw/, /tw/",,,,,7,
70,Review,,,,,7,
71,/str/,,,,,8,
72,ar (car),,,,,8,heart word: are
73,/spl/,,,,,8,
74,or (fork),,,,,8,
75,/spr/,,,,,8,
76,er (her),,,,,8,
77,/thr/,,,,,8,
78,ir (bird),,,,,8,
79,ur (fur),,,,,8,
80,Review,,,,,8,
81,ay (play),,,,,9,
82,ey (key),,,,,9,
83,eigh (weigh),,,,,9,
84,ie (believe),,,,,9,
85,y (happy AND try),,,,,9,
86,igh (night),,,,,9,
87,ow (snow),,,,,9,
88,oe (toe),,,,,9,
89,ough (though),,,,,9,
90,ew (new),,,,,9,